,word A,word B,loss,total mi
81,NNIS6-----A----,NNNS6-----A----,0.008196284796131385,2.09375124761161
82,RV--2----------,AANS2----1A----,0.00803848062751429,2.085554962815479
83,PSXXXXP3-------,PP-P4--1-------,0.008270945713239762,2.077516482187965
84,VsYS---XX-AP---,PDNS1----------,0.008514564229431618,2.069245536474726
85,AAFP1----1A----,PLMP1----------,0.008619060055260112,2.0607309722452936
86,NNMP1-----A----,NNFP1-----A----,0.007633131787906358,2.0521119121900333
87,PDZS2----------,Cn-P2----------,0.008918607411231872,2.0444787804021276
88,NNNS7-----A----,NNIS7-----A----,0.009025256398236607,2.035560172990896
89,NNFXX-----A----,NNMP2-----A----,0.009411482984895046,2.0265349165926585
90,"J,-------------",P4FS1----------,0.0096956056122537,2.0171234336077632
91,VpQW---XR-AA---,VB-S---3P-NA---,0.010059952083949091,2.0074278279955102
92,VB-P---3P-AA---,VpTP---XR-AA---,0.010094923873295409,1.9973678759115625
93,NNIP1-----A----,VsTP---XX-AP---,0.010670876192682152,1.9872729520382684
94,VB-P---3P-NA---,P7-X3----------,0.010061049162404601,1.9766020758455862
95,VpTP---XR-AA--1,AAIS1----1A----,0.011126436951661862,1.9665410266831818
96,NNNP2-----A----,NNMS2-----A----,0.011151120698924781,1.9554145897315194
97,AAFS6----1A----,AANS6----1A----,0.011476472348576074,1.944263469032594
98,NNFS6-----A----,NNIS6-----A----,0.011598110064833344,1.9327869966840183
99,NNFP4-----A----,AAIP4----1A----,0.011629596465803714,1.9211888866191862
100,PDZS2----------,AAIP2----1A----,0.011772267505800547,1.909559290153382
101,RR--7----------,AAIS7----1A----,0.011997827942925745,1.897787022647581
102,PSXXXXP3-------,Vc-X---3-------,0.012224793222747764,1.8857891947046561
103,X@-------------,PDZS3----------,0.01224122802256372,1.8735644014819077
104,NNFXX-----A----,NNIP2-----A----,0.012251484614685022,1.861323173459344
105,VB-S---3F-AA---,VpYS---XR-AA---,0.012432249151292648,1.8490716888446588
106,AAIS4----1A----,AAFS4----1A----,0.012745013397357534,1.8366394396933643
107,NNMP4-----A----,NNFS4-----A----,0.011703465184177418,1.823894426296007
108,AAIS2----1A----,RV--2----------,0.012574410341749432,1.8121909611118292
109,NNIS2-----A----,NNNS2-----A----,0.009967017548187577,1.799616550770079
110,AANS1----1A----,AAFS1----1A----,0.013327348143520887,1.789649533221891
111,NNNS1-----A----,NNFS1-----A----,0.01120026022448542,1.7763221850783695
112,Dg-------1A----,VsYS---XX-AP---,0.01350614594764798,1.7651219248538847
113,VpQW---XR-AA---,VB-S---3P-AA---,0.01417182891902957,1.7516157789062365
114,X@-------------,C}-------------,0.015027150767166823,1.7374439499872067
115,NNFP4-----A----,NNNS4-----A----,0.015591640154912422,1.7224167992200394
116,NNFP6-----A----,AAFP7----1A----,0.015694902112725003,1.7068251590651267
117,PDZS2----------,AAFP2----1A----,0.01575258291254017,1.6911302569524014
118,NNFXX-----A----,NNFP2-----A----,0.01521491441774481,1.675377674039861
119,VB-P---3P-NA---,Db-------------,0.016430662137043073,1.6601627596221151
120,VpTP---XR-AA--1,AAFP1----1A----,0.016572622647329047,1.6437320974850715
