word,context,pmi
La,Plata,13.917208890547514
Asa,Gray,13.917208890547514
competent,observers,13.917208890547514
de,Candolle,13.694816469211066
worth,while,13.402635717717756
faced,tumbler,13.332246389826357
Fritz,Muller,13.180243296381308
lowly,organised,13.042739772631371
Malay,Archipelago,13.042739772631371
shoulder,stripe,13.042739772631371
mental,qualities,13.010318294938994
self,fertilisation,12.917208890547514
branched,off,12.890736679186322
red,clover,12.801731673127577
Great,Britain,12.761930665069602
Professor,Owen,12.739670704995326
Galapagos,Islands,12.736636644905692
viscid,matter,12.724563812605117
Sir,J,12.689102818016671
United,States,12.595280795660152
English,carrier,12.595280795660152
breathing,apparatus,12.524891467768754
Indian,Islands,12.50217139126867
migrate,southward,12.457777271910215
thin,wall,12.4432777022151
deserves,notice,12.332246389826357
worth,notice,12.332246389826357
poor,soil,12.332246389826357
specially,endowed,12.287158500297819
Galapagos,Archipelago,12.277205026268396
western,shores,12.149654976547884
systematic,affinity,12.13293758160295
Old,Worlds,12.101291954986486
eminent,breeders,12.064766078961371
excellent,observer,12.042739772631371
reproductive,systems,12.02914216923065
receive,colonists,12.010318294938994
elongated,neck,12.010318294938994
vegetable,kingdom,12.010318294938994
New,Zealand,12.010318294938994
geology,tells,12.010318294938994
moveable,mandible,11.994376751069973
mountain,summits,11.983846083577804
source,whence,11.957850875044858
graduate,away,11.957850875044858
restricted,ranges,11.943204099080457
experienced,observers,11.917208890547514
annually,produces,11.917208890547514
differently,constructed,11.905236248881437
double,layer,11.87281477118906
geometrical,rate,11.858315201493944
mental,powers,11.858315201493944
partially,metamorphosed,11.858315201493944
Natural,Selection,11.845259048668499
entire,absence,11.83920637854624
absolute,perfection,11.801731673127577
aboriginal,stocks,11.794812259187786
infinite,diversity,11.787925873602546
admirable,observers,11.747283889105201
flat,bases,11.72081167774401
partially,retained,11.72081167774401
familiar,examples,11.72081167774401
co,adaptations,11.72081167774401
Professor,Asa,11.72081167774401
main,divisions,11.694816469211066
short,faced,11.694816469211066
full,grown,11.680169693246665
black,bars,11.677742955852123
internal,force,11.669281377103928
moveable,branches,11.650422349852612
air,breathing,11.644190396141097
equatorial,lowlands,11.631806671685265
working,ant,11.631806671685265
lofty,mountains,11.607353627960727
immediately,killed,11.595280795660152
horizontal,lines,11.595280795660152
vegetable,matter,11.595280795660152
foreign,lands,11.595280795660152
am,informed,11.595280795660152
everywhere,yielded,11.595280795660152
shallow,seas,11.595280795660152
reciprocal,crosses,11.576171972712446
continuously,united,11.536387106606583
nearest,mainland,11.50217139126867
nascent,giraffe,11.50217139126867
feel,sure,11.50217139126867
serious,error,11.50217139126867
hundred,miles,11.488709131462107
New,Worlds,11.479803578240215
lays,her,11.479803578240215
dark,caves,11.479803578240215
inevitably,follows,11.472424047874618
plain,expression,11.457777271910215
hive,bee,11.457777271910215
outer,toes,11.457777271910215
she,lays,11.41470855001833
afterwards,germinated,11.41470855001833
eminently,sensitive,11.41470855001833
serious,objection,11.386694173848733
webbed,feet,11.379774759908942
eminently,liable,11.379084640287608
dark,coloured,11.372888374323702
man's,agency,11.372888374323702
dead,bodies,11.372888374323702
laws,governing,11.347353282216565
comparatively,narrow,11.34230005449028
hind,limbs,11.34230005449028
southern,hemisphere,11.332246389826357
deserves,attention,11.332246389826357
gigantic,plates,11.332246389826357
undergoing,degradation,11.332246389826357
poor,materials,11.332246389826357
British,thrush,11.332246389826357
Sir,C,11.30053753009902
slave,making,11.287852270467903
English,race,11.284940675048
urged,against,11.279778969932222
fossiliferous,rocks,11.278169717070565
ill,occupied,11.273352700772788
close,interbreeding,11.273352700772788
foreign,blood,11.254243877825084
frequent,ill,11.235384850573768
fairly,treated,11.235384850573768
differently,coloured,11.235384850573768
Hooker,informs,11.235384850573768
branching,chain,11.235384850573768
fore,leg,11.180243296381308
newly,germinated,11.180243296381308
viscid,glands,11.180243296381308
blood,relationship,11.180243296381308
imaginary,illustration,11.180243296381308
constantly,trying,11.180243296381308
whence,colonists,11.180243296381308
irregular,branching,11.162321388384045
monstrosities,occurring,11.162321388384045
remained,unaltered,11.162321388384045
Silurian,deposits,11.135849177022854
mountain,ranges,11.135849177022854
bred,geese,11.10985396848991
active,movements,11.10985396848991
Australian,marsupials,11.10985396848991
mutual,relations,11.104140317295515
endowed,quality,11.101291954986486
free,intercrossing,11.092780455130967
relative,position,11.088543462244496
Several,eminent,11.064766078961371
produces,monstrous,11.010318294938994
vegetable,feeding,11.010318294938994
careful,study,11.010318294938994
subsequent,degradation,11.010318294938994
actual,passage,11.010318294938994
butterfly,knows,11.010318294938994
anterior,segments,11.010318294938994
foster,parents,11.010318294938994
rock,pigeon,10.998039965160558
rich,fossiliferous,10.994376751069973
feeding,beetles,10.994376751069973
singular,rules,10.994376751069973
Sir,W,10.978609435211657
transitional,grades,10.972350444739975
sexual,elements,10.964737260630098
sedimentary,beds,10.963012580160639
strictly,correct,10.955276931381032
humble,bees,10.951424605885427
limited,sense,10.939928967047598
glacial,epoch,10.93231578293772
British,Islands,10.917208890547514
enormously,remote,10.881584980816791
fundamental,test,10.87281477118906
taking,thoroughly,10.87281477118906
blank,intervals,10.87281477118906
anterior,limbs,10.87281477118906
entirely,thrown,10.858315201493944
dry,lands,10.858315201493944
whose,sight,10.858315201493944
whose,accuracy,10.858315201493944
northern,hemisphere,10.858315201493944
marine,faunas,10.846819562656115
feel,surprise,10.83920637854624
connecting,links,10.820347351294924
protected,heads,10.801731673127577
possibly,survive,10.801731673127577
utterly,aborted,10.801731673127577
adaptive,resemblances,10.801731673127577
constantly,borne,10.801731673127577
insensibly,fine,10.794812259187786
absolutely,require,10.787925873602546
graduated,steps,10.787925873602546
am,aware,10.779705366797579
hexagonal,cells,10.77425093670547
social,community,10.765205797102464
adjoining,spheres,10.751743537295901
statements,accord,10.747283889105201
utmost,vigour,10.747283889105201
fore,limbs,10.72081167774401
excellent,illustration,10.72081167774401
inferior,ones,10.72081167774401
insensibly,graduate,10.72081167774401
outer,wall,10.72081167774401
flat,portion,10.72081167774401
thin,layer,10.72081167774401
blown,across,10.72081167774401
graduate,insensibly,10.72081167774401
continuously,accumulating,10.72081167774401
